ID,Category,Subcategory,Stratum,Frequency,Word,Auditory,Visual,Haptic,Gustatory,Olfactory,Interoceptive,Dominant_modalities,Dominant_modality,Maximum_perceptual_strength,Iconicity,Modality_exclusivity
398,Noun,NA,Loaned,5133,kamera,1.4,3.7,2.1,0.1,0.1,1.5,Visual,Visual,3.7,1.642857143,40.4494382
397,Noun,NA,Native,8892,kagiri,0.916666667,2.666666667,1.833333333,0.333333333,0.583333333,2.166666667,Visual,Visual,2.666666667,1.642857143,27.4509804
25,Adjective,NA,Native,5513,shizukana,4.2,2.2,0.6,0,0.9,2.9,Auditory,Auditory,4.2,1.647058824,38.88888889
339,Ideophone,Ri-suffixed,Ideophonic,93,burari,0.909090909,3.181818182,1.090909091,0.181818182,0.363636364,2.818181818,Visual,Visual,3.181818182,2.153846154,35.10638298
154,Verb,NA,Native,5180,torikumu,1.470588235,3.294117647,3.352941176,0.647058824,0.882352941,3.647058824,Interoceptive,Interoceptive,3.647058824,1.666666667,22.56637168
218,Noun,NA,Loaned,12384,terebi,4.454545455,4.454545455,0.545454545,0.545454545,0.363636364,2.636363636,"Auditory, Visual",NA,4.454545455,1.666666667,31.46853147
392,Adjective,NA,Native,20019,hoshii,2.5,4.2,2.7,2.5,1.6,3.8,Visual,Visual,4.2,1.666666667,15.02890173
395,Verb,NA,Native,6614,wakeru,2.363636364,3.818181818,3.545454545,2,1.818181818,2.272727273,Visual,Visual,3.818181818,1.666666667,12.64367816
391,Adjective,NA,Native,13727,chikai,2.307692308,4,2.615384615,0.923076923,1.384615385,2.923076923,Visual,Visual,4,1.666666667,21.73913044
393,Verb,NA,Native,2474,kodawaru,2.636363636,3.727272727,2.454545455,2.909090909,1.818181818,2.454545455,Visual,Visual,3.727272727,1.666666667,11.93181818
394,Adjective,NA,Native,5178,kuroi,0.8,4.9,0.4,0.2,0.1,1.2,Visual,Visual,4.9,1.666666667,63.15789474
153,Function_word,NA,Native,"111,191",tara,1.2,0.3,0.1,0,0.2,1.6,Interoceptive,Interoceptive,1.6,1.666666667,47.05882353
152,Verb,NA,Native,4789,nukeru,3.1,3.1,2.9,1.3,1.2,3.8,Interoceptive,Interoceptive,3.8,1.6875,16.88311688
390,Noun,NA,Loaned,11287,deeta,1,2.923076923,0.769230769,0.307692308,0.307692308,1.230769231,Visual,Visual,2.923076923,1.692307692,39.99999999
389,Noun,NA,Native,13517,musume,1.5,3.8,1.3,0.1,0.4,1.4,Visual,Visual,3.8,1.705882353,43.52941176
388,Noun,NA,Loaned,124559,meeru,1.6,4.5,0.5,0,0,0.7,Visual,Visual,4.5,1.714285714,61.64383562
387,Verb,NA,Native,3412,naraberu,1.4,4.5,3.8,0.6,0.3,2.8,Visual,Visual,4.5,1.727272727,31.34328358
386,Verb,NA,Native,6606,hirogaru,1.4,4,1.2,1.5,1.5,2,Visual,Visual,4,1.727272727,24.13793103
385,Adjective,NA,Native,22375,nagai,2.8,4.6,3.4,0.4,0.3,2.6,Visual,Visual,4.6,1.733333333,30.4964539
43,Adjective,NA,Native,483,shibui,0.909090909,1.545454545,0.727272727,3.727272727,1.909090909,2.090909091,Gustatory,Gustatory,3.727272727,1.733333333,27.5
384,Noun,NA,Native,9028,mawari,1.9,4.1,1.8,0.4,1,1.5,Visual,Visual,4.1,1.736842105,34.57943925
400,Ideophone,Ri-suffixed,Ideophonic,10,busuri,3.2,3.5,3.2,0.3,0.1,3.3,Visual,Visual,3.5,1.625,25
151,Noun,NA,Native,34724,kokoro,1.4,1,0.4,0.1,0.1,4.3,Interoceptive,Interoceptive,4.3,1.764705882,57.53424658
382,Function_word,NA,Native,"163,045",made,2.181818182,3.090909091,2,1.090909091,0.818181818,2.909090909,Visual,Visual,3.090909091,1.764705882,18.79699248
381,Function_word,NA,Native,25540,dono,2.363636364,2.909090909,2.363636364,1.454545455,1.545454545,2.454545455,Visual,Visual,2.909090909,1.764705882,11.11111111
42,Adjective,NA,Native,11698,oishii,1.1,3,1.1,4.9,3.7,3.3,Gustatory,Gustatory,4.9,1.777777778,22.22222222
150,Noun,NA,Native,10762,yume,2.545454545,3.272727273,1.727272727,1.636363636,1.454545455,4.181818182,Interoceptive,Interoceptive,4.181818182,1.777777778,18.40490797
380,Verb,NA,Native,1836,tobikomu,2.4,3.6,2.9,0.2,0.5,3,Visual,Visual,3.6,1.777777778,26.98412698
378,Noun,NA,Sino-Japanese,23724,basho,2.454545455,4.090909091,1.818181818,1.272727273,1.636363636,3.454545455,Visual,Visual,4.090909091,1.785714286,19.13580247
379,Verb,NA,Native,33519,dasu,1.846153846,2.846153846,2.076923077,0.846153846,1.230769231,2.461538462,Visual,Visual,2.846153846,1.785714286,17.68707483
217,Noun,NA,Native,5712,namida,1.1,3.2,2.4,1.3,0.4,3.2,"Visual, Interoceptive",NA,3.2,1.8,24.13793103
376,Verb,NA,Native,4060,tasukeru,2.818181818,3.636363636,2.363636364,0.181818182,1.090909091,3.181818182,Visual,Visual,3.636363636,1.8,26.02739726
375,Verb,NA,Native,2310,kakureru,1.3,3.2,0.8,0.5,0.5,2.2,Visual,Visual,3.2,1.8,31.76470588
377,Adjective,NA,Native,1034,toboshii,1,3,0.9,1.5,1.6,2.5,Visual,Visual,3,1.8,20
374,Verb,NA,Native,1838,tetsudau,2.636363636,3.818181818,2.818181818,0.727272727,0.545454545,2.272727273,Visual,Visual,3.818181818,1.8125,25.5319149
24,Ideophone,Reduplicated,Ideophonic,27,kutsukutsu,4.1,3.3,1.6,0.8,1.7,2.7,Auditory,Auditory,4.1,1.818181818,23.23943662
149,Verb,NA,Native,5208,heru_decrease,1.9,3.6,2.4,1,0.7,3.7,Interoceptive,Interoceptive,3.7,1.818181818,22.55639098
148,Adjective,NA,Native,5563,tsurai,2,2.636363636,2.181818182,0.818181818,1.636363636,4,Interoceptive,Interoceptive,4,1.823529412,23.97260274
372,Verb,NA,Native,2078,kasanaru,2.4,4.3,3.1,1.4,1.3,2,Visual,Visual,4.3,1.857142857,20.68965517
373,Noun,NA,Native,6606,nagare,2.4,3.9,1.7,0,0.3,1.9,Visual,Visual,3.9,1.857142857,38.23529412
371,Function_word,NA,Native,"267,279",sore,2.1,3.9,2,1.1,0.7,1.1,Visual,Visual,3.9,1.866666667,29.35779817
370,Function_word,NA,Native,54738,soko,2.090909091,3.636363636,2.545454545,0.545454545,1.272727273,2.363636364,Visual,Visual,3.636363636,1.875,24.81751825
368,Verb,NA,Native,4317,takameru,2.7,3.7,2.6,1.9,2,3.5,Visual,Visual,3.7,1.888888889,10.97560976
288,Ideophone,Reduplicated,Ideophonic,24,charachara,3.545454545,4.363636364,2.636363636,0.454545455,1,2,Visual,Visual,4.363636364,2.888888889,27.92207792
369,Verb,NA,Native,2646,yoru_approach,2.3,3.4,1.8,0.1,1.1,2.7,Visual,Visual,3.4,1.888888889,28.94736842
216,Function_word,NA,Native,24648,mama,1.636363636,2.272727273,1.454545455,1,0.909090909,2.272727273,"Visual, Interoceptive",NA,2.272727273,1.9,14.28571429
365,Adjective,NA,Native,1613,kitanai,2.181818182,4.545454545,3.545454545,1.090909091,4.363636364,3,Visual,Visual,4.545454545,1.909090909,18.44660194
363,Adjective,NA,Native,7862,furui,1.727272727,4,2.727272727,2.545454545,3.272727273,2.090909091,Visual,Visual,4,1.909090909,13.88888889
364,Adjective,NA,Native,10974,hikui,3.454545455,4.727272727,2.181818182,0.363636364,0.363636364,1.909090909,Visual,Visual,4.727272727,1.909090909,33.56643356
366,Noun,NA,Native,21098,shita,1,3.636363636,1.272727273,0.090909091,0.363636364,1.909090909,Visual,Visual,3.636363636,1.909090909,42.85714285
147,Adjective,NA,Native,1943,kitsui,2.153846154,2.615384615,2,2.153846154,2.538461538,4.076923077,Interoceptive,Interoceptive,4.076923077,1.916666667,13.36633663
214,Adjective,NA,Native,302,nurui,0.7,2.1,3.5,2.2,0.5,3.5,"Haptic, Interoceptive",NA,3.5,1.923076923,24
215,Adjective,NA,Native,4170,shitashii,2,3.583333333,2.666666667,0.5,1.666666667,3.583333333,"Visual, Interoceptive",NA,3.583333333,1.923076923,22.02380952
362,Verb,NA,Native,6237,mitsumeru,1,5,1.181818182,0.272727273,0.363636364,2.090909091,Visual,Visual,5,1.923076923,47.70642201
146,Ideophone,N-suffixed,Ideophonic,68,gakun,2.333333333,2.916666667,2.25,0.25,0.166666667,4.083333333,Interoceptive,Interoceptive,4.083333333,1.928571429,32.63888888
361,Adjective,NA,Native,2917,tashikana,2.8,3.8,2.5,1.5,1.5,2.9,Visual,Visual,3.8,1.928571429,15.33333333
360,Adjective,NA,Native,26777,warui,2.636363636,3.818181818,2.090909091,2,1.909090909,3.454545455,Visual,Visual,3.818181818,1.944444444,12
145,Noun,NA,Native,10315,kotoshi,0.9,1.1,0,0.2,0,2.2,Interoceptive,Interoceptive,2.2,1.944444444,50
